teraz zrób plik csv,instytucja,fundusz,DATA_fundusz,typ_aktywa,emitent,isin,waluta,liczba_sztuk,wartosc_nominalna,wartosc_wg_ceny_nabycia,wartosc_wg_wyceny,udziaĹ‚_proc_aktywa,termin_wykupu,rodzaj_oprocentowania,oprocentowanie,rodzaj_rynku,rynek,nazwa_instrumentu,typ_instrumentu,poziom_hierarchii,TYP_aktywo_std,wartosc_wg_wyceny_num
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,ASSECOSEE (PLAS,SEE00014),regulowany,,Główny Rynek,GPW,48,712,Polska,2,127,2,387,"0,17",,,,,712.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,ASTRAZENECA PL,C (GB0009895292),regulowany,,London Stock,Exchange,11,350,Wielka Brytania,6,002,6,117,"0,45",,,,,350.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,AUTOPARTN (PLA,TPRT00018),Aktywny ryn,ek - rynek,Główny Rynek,GPW,213,010,Polska,4,064,4,218,"0,31",,,,,10.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,BAE Systems PLC,(GB0002634946),regulowany,,London Stock,Exchange,101,640,Wielka Brytania,4,859,6,010,"0,44",,,,,640.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,BARRICK GO,LD (CA0679011084),Aktywny rynek,-,rynek,Toronto Stock,Exchange,15,908,Kanada,1,518,1,012,"0,07",,,,15.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,BENEFIT (PL,BNFTS00018),regulowany,,,Główny Rynek,GPW,8,680,Polska,9,474,25,130,"1,84",,,,8.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,BGZBNPP (P,LBGZ0000010),regulowany,,,Główny Rynek,GPW,26,050,Polska,2,609,2,219,"0,16",,,,26.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Bioceltix SA,(PLBCLTX00019),Aktywny rynek,-,rynek,Główny Rynek,GPW,38,828,Polska,2,224,3,401,"0,25",,,,38.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,BUDIMEX (P,LBUDMX00013),regulowany,,,Główny Rynek,GPW,18,783,Polska,6,677,8,764,"0,64",,,,18.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,CCC (PLCCC,0000016),regulowany,,,Główny Rynek,GPW,18,351,Polska,,739,3,373,"0,25",,,,18.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,CDPROJEKT,(PLOPTTC00011),regulowany,,,Główny Rynek,GPW,94,957,Polska,12,925,18,180,"1,33",,,,94.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Cie Financie,re Richemont SA (CH0210483332),regulowany,,,Six Swiss Exch,ange,5,710,Francja,3,587,3,573,"0,26",,,,5.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,CREOTECH,(PLCRTCH00017),Aktywny rynek,-,rynek,Główny Rynek,GPW,20,769,Polska,3,277,3,593,"0,26",,,,20.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,cyber_Folks,S.A. (PLR220000018),regulowany,,,Główny Rynek,GPW,24,475,Polska,1,942,3,683,"0,27",,,,24.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Datawalk SA,(PLPILAB00012),regulowany,,,Główny Rynek,GPW,11,950,Polska,1,945,,676,"0,05",,,,11.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,DexCom Inc,(US2521311074),regulowany,,,NASDAQ Stock,Market,16,848,Stany Zjednoczone,7,640,5,374,"0,39",,,,16.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,DINOPL (PL,DINPL00011),regulowany,,,Główny Rynek,GPW,68,649,Polska,23,851,26,759,"1,96",,,,68.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,DOMDEV (P,LDMDVL00012),regulowany,,,Główny Rynek,GPW,23,992,Polska,3,401,4,371,"0,32",,,,23.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,GRENEVIA (,PLFAMUR00012),regulowany,,,Główny Rynek,GPW 1,627,083,Polska,5,881,3,571,"0,26",,,,627.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Indra Sistem,as SA (ES0118594417),regulowany,,,Spanish Stock,Exchange,56,704,Hiszpania,3,188,4,138,"0,30",,,,56.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,InPost SA (L,U2290522684),Aktywny rynek,-,rynek,Euronext Amst,erdam,114,181,Luksemburg,4,600,8,055,"0,59",,,,114.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Intuitive Sur,gical Inc (US46120E6023),regulowany,,,NASDAQ Stock,Market,3,777,Stany Zjednoczone,5,958,8,085,"0,59",,,,3.0
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2035,2035,Jeronimo Ma,rtins SGPS SA (PTJMT0AE0001),regulowany,,,Euronext Lisbo,n,114,100,Portugalia,9,619,8,995,"0,66",,,,114.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Subfunduszu PPK inPZU 20,40 wydzi,elonego w ramach,PPK inPZU Specjali,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Funduszu Inwestycyjnego O,twarteg,o,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,za okres od 1 stycznia 2024 r.,do 31 gru,dnia 2024 r.,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Zarząd TFI PZU SA:,,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Tomasz Stadnik,Prezes Zarz,ądu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Tomasz Bilecki,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Marcin Dobrzański,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Marcin Jakubiak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Jarosław Leśniczak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Biuro Księgowości Fundu,szy TFI PZ,U SA:,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Marcin Bielecki,D,yrektor Biura,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,…………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,"Warszawa, 24 marca 2025 r.",,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Zarząd Towarzystwa Fu,nduszy Inwest,ycyjnych,PZU,S.A. zgodnie z Ust,awą z dnia 29 września 1994 r. o rachunkow,ości oraz,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Rozporządzeniem Minist,ra Finansów,z dnia,24 g,rudnia 2007 r. w,sprawie szczególnych zasad rachunkowości,funduszy,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,inPZU Specjalistycznego,Funduszu Inw,estycyjn,ego O,"twartego, zwanego","dalej „Subfunduszem”, obejmujące:",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,I. Zestawienie lokat,według stanu,na 31 g,rudnia,"2024 r., z tabelam","i uzupełniającymi oraz dodatkowymi,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,II. Bilans sporządzon,y na dzień 31,grudnia,2024,"r.,",,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,III. Rachunek wyniku,z operacji za,okres od,1 sty,cznia do 31 grudnia,"2024 r.,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,IV. Zestawienie zmian,w aktywach,"netto,",,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,V. Noty objaśniające,",",,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,VI. Informację dodat,kową.,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ZEST,AWIENI,E LOKAT,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Zestawi,enie lokat,należy anali,zować łącznie,z notami objaś,niającymi,i informacją dodatko,"wą, k",tór,e stanowią integralną c,zęść prezentowanego s,pra,wozdan,ia jednostko,we,go.,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Tabela,Główn,a,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,,,,31.1,2.202,4,,,,,31.12.202,3,,,,2.202
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,SKŁADNIKI,LOKAT,W,artość we,Warto dług ceny,ść we,dłu,g Procentowy udzi,ał w Wartość według,ce,ny,Wartość we,dłu,g Procentowy,udzi,ał w,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,,,,nabycia,wycen w tys. zł bilanso,y na d wy w,zie tys,ń aktywach ogół . zł,em nabycia w tys,. zł,b,wyceny na d ilansowy w,zie tys,ń aktywach . zł,ogół,em,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Akcje,,,,,,565 210,,651,705,"49,71",417,731,,488,652,,"54,70",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Warrant,y subskrypc,yjne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Prawa d,o akcji,,,,,0,,,0,"0,00",,808,,,921,,"0,10",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Prawa p,oboru,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Kwity de,pozytowe,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Listy zas,tawne,,,,,7 518,,7,526,"0,58",3,000,,3,002,,"0,34",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Dłużne p,apiery wart,ościowe,,,,604 013,,623,153,"47,53",366,370,,383,549,,"42,93",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Instrum,enty pochod,ne,,,,0,,,500,"0,04",,0,,1,128,,"0,12",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Udziały,w spółkach,z ograniczoną,odpowiedzialno,ścią,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Jednostk,i uczestnict,wa,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Certyfika,ty inwestyc,yjne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Tytuły u,czestnictwa,emitowane p,rzez instytucje w,spólnego,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,inwesto,wania mając,e siedzibę za,granicą,,,6 906,,6,829,"0,52",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Wierzyte,lności,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Udzielon,e pożyczki,pieniężne,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Weksle,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Depozyt,y,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Waluty,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Nierucho,mości,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Statki m,orskie,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Inne,,,,,,0,,,0,"0,00",,0,,,0,,"0,00",
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Razem,,,,,,1 183 647,1 2,89,713,"98,38 7",87,909,8,77,252,,"98,19",12.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,W tabeli,prezentow,ane są instru,menty pochodne,posiadane przez,Subfundu,"sz, których wycena na",dzień,bila,nsowy jest dodatnia. Ko,mpletna informacja dotyczą,ca i,nstrume,ntów pochod,nych,posiadanych przez,Subf,undusz,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,znajduje,się w tabeli,uzupełniając,ej „Instrumenty,pochodne” oraz,w „Nocie 6,Instrumenty pochodne”,", w któ",ryc,h zaprezentowano także (,o ile takowe występowały),nie,wystanda,ryzowane ins,tru,"menty pochodne, któr",ych,wycena,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,na dzień,bilansowy,była ujemna i,która tym sam,ym została odnie,siona w z,obowiązania Subfundusz,u ora,z wy,standaryzowane instrum,"enty pochodne, których wa",rtoś,ć bilanso,wa wynosiła,zer,o z uwagi na dzienn,e roz,liczenia,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,AKCJE,Rodzaj,rynku,Nazwa r,ynku Liczba,,,emitenta nabycia w tys,. z,wyceny na d ł bilansowy w,zie tys,ń aktywach ogółe . zł,m,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,adidas AG (DE000,A1EWWW0),regulowany,,Xetra,,6,610,Niemcy,5,167,6,688,"0,51",,,,,610.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Adobe Systems In,c (US00724F1012),regulowany,,NASDAQ Stock,Market,3,011,Stany Zjednoczone,6,563,5,491,"0,42",,,,,11.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Advanced Micro D,evices Inc (US0079031078),regulowany,,NASDAQ Stock,Market,11,850,Stany Zjednoczone,5,858,5,870,"0,45",,,,,850.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,AGORA (PLAGORA,00067),regulowany,,Główny Rynek,GPW,156,433,Polska,1,834,1,541,"0,12",,,,,433.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ALIOR (PLALIOR0,0045),regulowany,,Główny Rynek,GPW,4,147,Polska,,271,,357,"0,03",,,,,147.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Allegro.eu SA (LU,2237380790),regulowany,,Główny Rynek,GPW,758,073,Luksemburg,21,510,20,529,"1,57",,,,,73.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Alphabet Inc (US0,2079K3059),regulowany,,NASDAQ Stock,Market,10,330,Stany Zjednoczone,5,452,8,020,"0,61",,,,,330.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Amazon.com Inc (,US0231351067),regulowany,,NASDAQ Stock,Market,10,680,Stany Zjednoczone,7,866,9,609,"0,73",,,,,680.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Anglo American P,LC (GB00B1XZS820),regulowany,,London Stock,Exchange,64,410,Wielka Brytania,8,850,7,840,"0,60",,,,,410.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Apple Inc (US037,8331005),regulowany,,NASDAQ Stock,Market,7,552,Stany Zjednoczone,6,080,7,756,"0,59",,,,,552.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Archicom SA (PLA,RHCM00016),regulowany,,Główny Rynek,GPW,273,844,Polska,7,438,11,228,"0,86",,,,,844.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ASML Holding NV,(NL0010273215),regulowany,,Euronext Ams,terdam,1,787,Holandia,4,960,5,182,"0,40",,,,,787.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ASSECOSEE (PLAS,SEE00014),regulowany,,Główny Rynek,GPW,46,570,Polska,2,033,2,282,"0,17",,,,,570.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ASTRAZENECA PL,C (GB0009895292),regulowany,,London Stock,Exchange,10,850,Wielka Brytania,5,738,5,848,"0,45",,,,,850.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,AUTOPARTN (PLA,TPRT00018),Aktywny ryn,ek - rynek,Główny Rynek,GPW,203,701,Polska,3,884,4,033,"0,31",,,,,701.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny ryn,ek - rynek,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,BAE Systems PLC,(GB0002634946),regulowany,,London Stock,Exchange,97,190,Wielka Brytania,4,644,5,747,"0,44",,,,,190.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,BARRICK GO,LD (CA0679011084),Aktywny rynek,-,rynek,Toronto Stock,Exchange,15,825,Kanada,1,510,1,007,"0,08",,,,15.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,BENEFIT (PL,BNFTS00018),regulowany,,,Główny Rynek,GPW,8,812,Polska,10,730,25,511,"1,95",,,,8.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,BGZBNPP (P,LBGZ0000010),regulowany,,,Główny Rynek,GPW,45,000,Polska,4,507,3,834,"0,29",,,,45.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Bioceltix SA (,PLBCLTX00019),Aktywny rynek,-,rynek,Główny Rynek,GPW,37,405,Polska,2,143,3,277,"0,25",,,,37.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,BUDIMEX (P,LBUDMX00013),regulowany,,,Główny Rynek,GPW,18,103,Polska,6,463,8,447,"0,64",,,,18.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,CCC (PLCCC0,000016),regulowany,,,Główny Rynek,GPW,42,880,Polska,1,871,7,881,"0,60",,,,42.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,CDPROJEKT,(PLOPTTC00011),regulowany,,,Główny Rynek,GPW,112,690,Polska,16,297,21,576,"1,65",,,,112.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Cie Financier,e Richemont SA (CH0210483332),regulowany,,,Six Swiss Exch,ange,5,470,Francja,3,439,3,422,"0,26",,,,5.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,CREOTECH (,PLCRTCH00017),Aktywny rynek,-,rynek,Główny Rynek,GPW,19,825,Polska,3,120,3,430,"0,26",,,,19.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,cyber_Folks,S.A. (PLR220000018),regulowany,,,Główny Rynek,GPW,23,916,Polska,1,885,3,599,"0,27",,,,23.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Daimler AG (,DE0007100000),regulowany,,,Xetra,,11,090,Niemcy,3,528,2,549,"0,19",,,,11.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Datawalk SA,(PLPILAB00012),regulowany,,,Główny Rynek,GPW,11,445,Polska,1,869,,648,"0,05",,,,11.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,DexCom Inc,(US2521311074),regulowany,,,NASDAQ Stock,Market,16,226,Stany Zjednoczone,7,359,5,175,"0,39",,,,16.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,DINOPL (PLD,INPL00011),regulowany,,,Główny Rynek,GPW,68,202,Polska,23,815,26,585,"2,03",,,,68.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,DOMDEV (PL,DMDVL00012),regulowany,,,Główny Rynek,GPW,22,955,Polska,3,253,4,182,"0,32",,,,22.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,ERSTE GROU,P BANK (AT0000652011),regulowany,,,Vienna Stock E,xchange,16,590,Austria,2,572,4,229,"0,32",,,,16.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,GRENEVIA (,PLFAMUR00012),Aktywny rynek,-,rynek,Główny Rynek,GPW 1,557,966,Polska,5,633,3,420,"0,26",,,,557.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,regulowany,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,Indra Sistem,as SA (ES0118594417),regulowany,,,Spanish Stock,Exchange,54,428,Hiszpania,3,060,3,972,"0,30",,,,54.0
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,,,Aktywny rynek,-,rynek,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2040,2040,InPost SA (L,U2290522684),regulowany,,,Euronext Amst,erdam,110,220,Luksemburg,4,438,7,776,"0,59",,,,110.0
